dim,fid,initialization,basic,cm_angle,disp,ela_conv,ela_curv,ela_distr,ela_level,ela_local,ela_meta,ic,nbc,pca
2,1,16.666666666666668,0,0,0,166.66666666666666,716.6666666666666,0,0,340.8333333333333,0,0,0,0
3,1,18.75,0,0,0,125,1406.25,0,0,535.75,0,0,0,0
5,1,20.833333333333332,0,0,0,83.33333333333333,3395.8333333333335,0,0,1014.25,0,0,0,0
10,1,22.321428571428573,0,0,0,44.642857142857146,11674.107142857143,0,0,2241.964285714286,0,0,0,0
2,2,4.854368932038835,0,0,0,48.543689320388346,208.73786407766988,0,0,1135.9223300970873,0,0,0,0
3,2,5.319148936170213,0,0,0,35.46099290780142,398.93617021276594,0,0,2268.1205673758864,0,0,0,0
5,2,5.2521008403361344,0,0,0,21.008403361344534,856.0924369747898,0,0,5580.063025210084,0,0,0,0
10,2,5.330490405117271,0,0,0,10.66098081023454,2787.8464818763327,0,0,14876.066098081024,0,0,0,0
2,3,1.240694789081886,0,0,0,12.40694789081886,53.349875930521094,0,0,114.64019851116626,0,0,0,0
3,3,1.1278195488721805,0,0,0,7.518796992481203,84.58646616541354,0,0,158.38345864661653,0,0,0,0
5,3,0.8704735376044569,0,0,0,3.4818941504178276,141.88718662952647,0,0,240.6615598885794,0,0,0,0
10,3,0.7959248646927729,0,0,0,1.5918497293855458,416.26870423432024,0,0,649.3696275071633,0,0,0,0
2,4,1.0121457489878545,0,0,0,10.121457489878544,43.522267206477736,0,0,101.49797570850204,0,0,0,0
3,4,0.6830601092896175,0,0,0,4.553734061930784,51.22950819672131,0,0,123.816029143898,0,0,0,0
5,4,0.5141916906622789,0,0,0,2.0567667626491155,83.81324557795146,0,0,198.53969559851913,0,0,0,0
10,4,0.46825248173815326,0,0,0,0.9365049634763064,244.89604794905415,0,0,547.015358681401,0,0,0,0
2,5,22.727272727272727,0,0,0,227.27272727272725,977.2727272727273,0,0,461.81818181818176,0,0,0,0
3,5,22.72727272727273,0,0,0,151.51515151515153,1704.5454545454547,0,0,672.7272727272727,0,0,0,0
5,5,26.041666666666668,0,0,0,104.16666666666669,4244.791666666667,0,0,1253.8541666666667,0,0,0,0
10,5,39.0625,0,0,0,78.125,20429.6875,0,0,3312.5,0,0,0,0
2,6,1.779359430604982,0,0,0,17.793594306049823,76.51245551601423,0,0,1028.291814946619,0,0,0,0
3,6,1.1645962732919253,0,0,0,7.763975155279502,87.3447204968944,0,0,1268.5481366459626,0,0,0,0
5,6,0.6433350488934637,0,0,0,2.573340195573855,104.86361296963456,0,0,1532.0303654143077,0,0,0,0
10,6,0.3212128999100604,0,0,0,0.6424257998201208,167.99434665296158,0,0,2283.104843890531,0,0,0,0
2,7,0.5347593582887701,0,0,0,5.347593582887701,16.577540106951872,0,0,3.2085561497326203,0,0,0,0
3,7,0.43680838672102507,0,0,0,2.9120559114735003,24.89807804309843,0,0,3.5119394292370414,0,0,0,0
5,7,0.2670940170940171,0,0,0,1.0683760683760684,35.532051282051285,0,0,3.3664529914529915,0,0,0,0
10,7,0.15739108536892468,0,0,0,0.31478217073784936,72.89788466381263,0,0,3.942646688491563,0,0,0,0
2,8,2.1645021645021645,0,0,0,21.645021645021643,93.07359307359307,0,0,571.1038961038961,0,0,0,0
3,8,1.8703241895261844,0,0,0,12.468827930174562,140.27431421446383,0,0,667.4688279301745,0,0,0,0
5,8,0.7720815318097591,0,0,0,3.0883261272390365,125.84928968499074,0,0,475.21000617665226,0,0,0,0
10,8,0.4854368932038835,0,0,0,0.970873786407767,253.88349514563103,0,0,907.657281553398,0,0,0,0
